item_id,item_name,item_category,item_description,item_price,item_image
8863367,Weber Spirit II E-210 2 burners Liquid Propane Grill Black,grills-and-smokers," Open your door to the world of grilling with the sleek Spirit II E-210 gas grill. This two burner grill is built to fit small spaces, and packed with features such as the powerful GS4 grilling system, iGrill capability, and convenient side tables for placing serving trays. ; GS4 Infinity Ignition; GS4 Stainless Steel Burners; GS4 Porcelain-Enameled Flavorizer Bars; GS4 Grease Management System; iGrill 3 compatible (sold separately); Fold down left stainless steel side table; 6 Tool Hooks; Fuel gauge (LP models only)",379,https://cdn-tp3.mozu.com/24645-37138/cms/37138/files/ba190941-9725-4f92-9d27-055e1a70175a?quality=60&_mzcb=_1605141010317
8863581,Weber Spirit II E-310 3 burners Liquid Propane Grill Black,grills-and-smokers," Step up your grilling game with the Spirit II E-310 gas grill. This three burner grill has a spacious grilling area and convenient side tables for placing serving trays, and tool hooks for hanging your tongs and spatula. With the powerful GS4 grilling system and iGrill capability, you're already set up for BBQ success ; GS4 infinity ignition; GS4 stainless steel burners; GS4 porcelain-enameled flavorizer bars; GS4 grease management system; iGrill 3 compatible (sold separately); Fold down left stainless steel side table; 6 tool hooks",479,https://cdn-tp3.mozu.com/24645-37138/cms/37138/files/9df2bd14-bcc4-480f-b072-50e86351f044?quality=60&_mzcb=_1605141010317
8863482,Weber Spirit II E-310 3 burners Natural Gas Grill Black,grills-and-smokers," This grill requires a natural gas line. This grill DOES NOT use a propane tank.Step up your grilling game with the Spirit II E-310 gas grill. This three burner grill has a spacious grilling area and convenient side tables for placing serving trays, and tool hooks for hanging your tongs and spatula. With the powerful GS4 grilling system and iGrill capability, you're already set up for BBQ success ; GS4 Infinity Ignition; GS4 Stainless Steel Burners; GS4 Porcelain-Enameled Flavorizer Bars; GS4 Grease Management System; iGrill 3 compatible (sold separately); Fold down left stainless steel side table; 6 Tool Hooks; 10-foot flexible hose (NG model)",479,https://cdn-tp3.mozu.com/24645-37138/cms/37138/files/b5dcfde0-37b7-4b86-b7d1-5e75abaa64c4?quality=60&_mzcb=_1605141010317
8398240,Char-Broil Patio Bistro 1 burners Liquid Propane Grill Black,grills-and-smokers," The Patio BistroÂ® gas grills are great if you have a small footprint for backyard grilling. It features the TRU infrared cooking system for no flare-ups and even heat. Start the grill with the touch of a button with the electronic ignition. It includes stainless steel grates and a warming rack. ; Small on size, mighty on features; Perfect for a patio or balcony; TRU-infrared technology for juicer food; Eliminates hot and cold spots while using less gas; Patio gas grill has electronic ignition integrated into gas control knob for a wide range of temperatures",179.99,https://cdn-tp3.mozu.com/24645-37138/cms/37138/files/22b5356b-e1a3-49bb-9217-6e646b2bf8ba?quality=60&_mzcb=_1605141010317
8256588,Weber Spirit E-310 3 burners Liquid Propane Grill Black,grills-and-smokers," The WeberÂ® SpiritÂ® series is a great place to kick-start your gas grilling adventure. After using a SpiritÂ® gas grill for the first time, all of your reservations will melt away. It offers an abundance of cooking space and the option of direct and indirect heat. Grilling a delicious meal for family and friends has never been so quick and easy! ; Stainless Steel Burners; Porcelain-Enameled Flavorizer Bars; Electronic Crossover ignition system; Porcelain-enameled shroud w/center-mounted thermometer; Painted enclosed steel cabinet w/painted steel doors; Front access, porcelain-enameled grease tray with catch pan; Fuel gauge (LP models only); 6 Tool Hooks",529,https://cdn-tp3.mozu.com/24645-37138/cms/37138/files/281f7e08-06dd-46ff-8455-bfb2a2072515?quality=60&_mzcb=_1605141010317
8255994,Weber Spirit E-210 2 burners Liquid Propane Grill Black,grills-and-smokers," The WeberÂ® SpiritÂ® series is a great place to kick-start your gas grilling adventure. After using a SpiritÂ® gas grill for the first time, all of your reservations will melt away. It offers an abundance of cooking space and the option of direct and indirect heat. Grilling a delicious meal for family and friends has never been so quick and easy. ; Painted enclosed steel cabinet w/painted steel doors; Electronic crossover ignition system; Porcelain-Enameled Flavorizer Bars; Fold down side tables; Porcelain-enameled shroud w/center-mounted thermometer; Fuel gauge (LP models only); Front access, porcelain-enameled grease tray with catch pan; Grill cover #8883001 (sold separately)",429,https://cdn-tp3.mozu.com/24645-37138/cms/37138/files/df26334e-7f28-4793-b6a3-e5a648c57820?quality=60&_mzcb=_1605141010317
8016636,Weber Genesis II S-435 4 burners Liquid Propane Grill Stainless Steel,grills-and-smokers," Grill burgers, sear steaks and saute veggies on a grill that's big enough to do it all. Perfectly grilled food is the mission of the Genesis II S-435. Everything from a world class grilling engine to an outstanding 10 year warranty sets you up to a backyard hero. ; GS4 Infinity Ignition; GS4 High Performance Stainless Steel Burners; GS4 Stainless Steel Flavorizer Bars; GS4 Grease Management System; 7mm Stainless Steel Cooking Grates; iGrill 3 compatible (sold separately); Stainless steel work surfaces; Fuel gauge (LP models only); Tuck-Away Warming Rack",1249,https://cdn-tp3.mozu.com/24645-37138/cms/37138/files/fb774653-856c-4733-8a34-34cb3725e3f0?quality=60&_mzcb=_1605141010317
8017322,Weber Genesis II E-325 3 burners Liquid Propane Grill Black,grills-and-smokers," An exclusive world-class grilling engine, three powerful burners with grill handle light included, enclosed grill cabinet adds extra storage space for your grilling tools. iGrill 3 smart technology compatibility - all backed by the Weber 10 year lid to wheels warranty. This is the new standard in gas grilling. ; GS4 Infinity ignition; GS4 high performance stainless steel burners; GS4 stainless steel flavorizer bars; GS4 grease management system; Tuck-away warming rack; iGrill 3 compatible (sold separately); 9,000 BTU Sear Station burner",849,https://cdn-tp3.mozu.com/24645-37138/cms/37138/files/e7764f9e-5ac1-4eff-a797-d2ee215ae91c?quality=60&_mzcb=_1605141010317
8017321,Weber Genesis II E-325 3 burners Natural Gas Grill Black,grills-and-smokers," This grill requires a natural gas line. This grill DOES NOT use a propane tank.An exclusive world-class grilling engine, three powerful burners with grill handle light included, enclosed grill cabinet adds extra storage space for your grilling tools. iGrill 3 smart technology compatibility - all backed by the Weber 10 year lid to wheels warranty. This is the new standard in gas grilling. ; GS4 Infinity ignition; GS4 high performance stainless steel burners; GS4 stainless steel flavorizer bars; GS4 grease management system; 9000 BTU Sear Station burner; iGrill 3 compatible (sold separately); Tuck-away warming rack; 9000 BTU Sear Station burner",849,https://cdn-tp3.mozu.com/24645-37138/cms/37138/files/7ba9f790-0418-4277-8584-bb367ab93487?quality=60&_mzcb=_1605141010317
8016663,Weber Genesis II SE-310 3 burners Liquid Propane Grill Black,grills-and-smokers," An exclusive world-class grilling engine, three powerful burners, grill handle light included as well as iGrill 3 smart technology compatibility - all backed by the Weber 10 year warranty. This is the new standard in gas grilling. ; GS4 Infinity Ignition; GS4 High Performance Stainless Steel Burners; GS4 Stainless Steel Flavorizer Bars; GS4 Grease Management System; 9mm Stainless Steel Cooking Grates; iGrill 3 compatible (sold separately); Stainless steel work surfaces; Fuel gauge (LP models only); Tuck-Away Warming Rack",799,https://cdn-tp3.mozu.com/24645-37138/cms/37138/files/401a6b50-6bf4-4e6b-bb09-06c4c694a7bc?quality=60&_mzcb=_1605141010317
8016671,Weber Genesis II SE-335 3 burners Liquid Propane Grill Black,grills-and-smokers," A sear station, world class grilling engine, a grill handle light and side burner to simmer barbecue sauce is your recipe for a perfectly grilled meal. The Genesis II SE-335 is equipped with the power and features you need for amazing food - all backed by a 10 year warranty. ; GS4 Infinity Ignition; GS4 High Performance Stainless Steel Burners; GS4 Stainless Steel Flavorizer Bars; GS4 Grease Management System; 9mm Stainless Steel Cooking Grates; iGrill 3 compatible (sold separately); Stainless steel work surfaces; Fuel gauge (LP models only); Tuck-Away Warming Rack",999,https://cdn-tp3.mozu.com/24645-37138/cms/37138/files/a4ed9773-7385-4e3a-bcf5-2443e3624d44?quality=60&_mzcb=_1605141010317
